Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
1929,Seven Footprints to Satan,American,Benjamin Christensen,"Thelma Todd, Creighton Hale",horror,https://en.wikipedia.org/wiki/Seven_Footprints_to_Satan,"Jim and Eve, a young society couple, are kidnapped on the eve of Jim's departure for Africa and brought to a mansion that is home to a strange and glamorous Satanic cult."
1984,Opium and the Kung-Fu Master,Hong Kong,Tang Chia,Ti Lung,martial arts / action,https://en.wikipedia.org/wiki/Opium_and_the_Kung-Fu_Master,"Master Tie Qiao San (Ti Lung), the leader of the Ten Tigers of Canton, is the chief coach of China's militia. At that time, the opium ban was in use, but public sale of opium was widely available. Many bureaucrats were taking opium, a trend that Tie followed. As Tie takes opium, his physical skills were declining. Seeing how Tie's skills are declining, opium store owner Rong Feng (Chen Kuan-tai) challenges Tie to a public duel. Tie struggles to fight Rong and was in serious danger until his disciple Lu Guasi (Robert Mak) steps in to rescue him before dying from his injuries. Seeing his disciple killed by Rong, Tie vows to seek revenge."
2000, Angst,Australian,Daniel Nettheim,"Sam Lewis
Jessica Napier
Justin Smith
Abi Tucker
Luke Lennox",comedy,https://en.wikipedia.org/wiki/Angst_(2000_film),"Angst tells the story of a group of horror film devotees living in Sydney's King's Cross. There's Dean (Sam Lewis), a cynical, sexually frustrated video store employee with a bad case of unresolved love. Then there are his flatmates Ian (Justin Smith) and Jade (Jessica Napier) - Ian works in an adult bookstore, waiting for his break as a stand-up comedian, whereas Jade doesn't work at all, content to smoke pot and watch videos while she can still get away with it. Wandering into our characters' lives is street kid Mole (Luke Lennox), who challenges Jade's lifestyle by stealing the trio's trusty VCR, and the alluring May (Abi Tucker), a goth chick on whom Dean develops an over-the-counter crush. It has been described as an Australian version of Kevin Smith's Clerks and Mallrats with the same Dark humor as SubUrbia."
2003,Foolproof,Canadian,William Phillips,"Ryan Reynolds, David Suchet, Kristin Booth",crime drama,https://en.wikipedia.org/wiki/Foolproof_(film),"The movie starts with Kevin (played by Reynolds), Sam (Booth) and Rob (Jarsky) playing a game, known as ""Foolproof"", in which they create working plans to infiltrate and burgle various targets. They do not actually execute these heists, preferring to simply simulate them. The rules of the game include the three of them to have the necessary technical and physical abilities to carry out the tasks required for the heist, and they cannot use a loaded gun.
All is fine until a famous criminal, Leo Gillete (Suchet), breaks into Sam's apartment, steals the trio's plans for a jewelry warehouse heist and accomplishes it. He then blackmails the group into designing and executing a plan to steal $20 million in bonds from a bank. Since he has evidence incriminating them in the plans, they accept.
Tension escalates within the group as Rob befriends Leo, while Kevin and Sam attempt to hinder his plans. They get the security codes to the safe and successfully switch the bonds. But the situation turns against them when Leo and Rob force them into an elevator and crashing it. Leo goes down and retrieves the bonds and shoots Sam.
It is later revealed that the gun had been switched and was loaded with blanks. Sam and Kevin get up and are greeted by Rob who was in on the plan the whole time. When Leo gets back to his place, he sees a fire started by the gang to destroy evidence against them and planted evidence against Leo on the latest burglary. Leo is taken in custody while the friends drive away in their car.[3]"
2009,Old Dogs,American,Walt Becker,"John Travolta, Robin Williams, Kelly Preston, Seth Green, Ella Bleu Travolta, Conner Rayburn, Matt Dillon, Rita Wilson, Dax Shepard, Bernie Mac, Luis Guzmán, Justin Long","comedy, family",https://en.wikipedia.org/wiki/Old_Dogs_(film),"Dan Rayburn (Robin Williams) and Charlie Reed (John Travolta) are best friends and co-owners of a successful sports marketing firm. Seven years prior, Dan, recently divorced, married Vicki (Kelly Preston) after being whisked away by Charlie for a tropical vacation. The marriage, however, is short lived. Seven years later, Vicki resurfaces to tell Dan that their short marriage resulted in something he never suspected: twins Zach (Conner Rayburn) and Emily (Ella Bleu Travolta).
Vicki, facing jail time for her work as an environmental activist, asks Dan to take care of the kids while she does her time. Thinking this might be his chance to get back with Vicki, Dan agrees, but only if Charlie will help him since neither have any experience taking care of kids. At the same time, the two must finalize a huge marketing deal with a Japanese company; something they've always dreamed of, but will take all of their talents to clinch.
Because Dan's condo does not allow children, he has to board with Charlie. Whilst this is happening, Charlie and Dan are close to securing the biggest account in the history of their careers with the Japanese corporation. Charlie and Dan's attempts to take care of the kids are well-intentioned, but very misguided. On a trip with the kids to an overnight camp, a hard-nosed camp instructor (Matt Dillon) becomes convinced that Dan and Charlie are homosexual partners. The trip ends with a bang after Dan accidentally sets a beloved statue of the camp's founder on fire.
The kids then proceed to spill and replace Charlie and Dan's prescriptions, mixing them up in the process. Dan then must play a game of golf with the Japanese executives while experiencing extreme side effects and Charlie tries to woo Amanda (Lori Loughlin) with a face frozen by the pills.
Desperate to help Dan communicate with the children despite his inexperience with children, Charlie recruits his friend Jimmy Lunchbox (Bernie Mac), a flamboyant children's entertainer, who is famous around the world. Jimmy comes by and straps Dan and Charlie in motion control puppet suits so Charlie can help Dan make all the right moves with his daughter while having a tea party. The suits malfunction, but Dan speaks from the heart, winning over Emily but his speech makes Jimmy emotional. Everything is great with Vicki as she returns home upon having served time in jail. However, the guys have sealed their Japanese deal, sending junior associate Craig (Seth Green) to Tokyo. When Craig goes missing after arriving there, Charlie and Dan must fly to Tokyo themselves to work. Dan must leave the kids and Vicki despite his (and their) desire to be a family.
Once in Tokyo, Dan realizes that what he really wants is to be a good father. He leaves the meeting without sealing the deal, rushing with Charlie to Vermont for the kids' birthday party. They aren't able to get into the Burlington Zoo in time and are forced to break in with the help of Craig. However, they mistakenly wind up in the gorilla enclosure. Though Dan and Charlie escape, Craig is captured by the gorilla (which takes a strong liking to him).
Dan then pays a birthday party performer hired by Vicki to use his jet pack and suit, flies into the ceremony and wins his kids back over. When the jet pack stops working in mid-air, he is taken to an ambulance on a stretcher. One year later, Dan and Vicki are together, Charlie has married Amanda, and Craig has become like a new ""uncle"" to the kids."
2014,The President,British,Mohsen Makhmalbaf,,drama,https://en.wikipedia.org/wiki/The_President_(2014_film),"A revolution is happening in a country with a dictatorial president. The president sends his family abroad but his grandson wants to stay with his grandfather. In order to save their lives they run away and the president uses a wig and a guitar to disguise himself as a gypsy. They want to reach the sea so they can go to another country by boat. They must experience poverty and hunger during their journey, and see the effects of the dictatorship on the country.[2]
The inspiration for the film came when Makhmalbaf visited the Darul Aman Palace in Kabul. The Arab Spring revolutions were also inspirations.[3]"
1990,Love Is Love,Hong Kong,Tommy Leung,"Stephen Chow, Sandra Ng, Shing Fui-On",unknown,https://en.wikipedia.org/wiki/Love_Is_Love_(film),"Shi Jinshui and Wu Daidi were raised in the countryside and are childhood sweethearts, but Wu Daidi's father is against their marriage. They elope from their hometown and live in urban areas. Shi Jinshui falls in love with his superior and break up with his wife Wu Daidi. Two years later, Shi Jinshui finds himself still in love with Wu Daidi and he decides to find his beloved wife.[2]"
2017,Phillauri,Bollywood,Anshai Lal,"Anushka Sharma, Diljit Dosanjh, Suraj Sharma & Mehreen Pirzada",romance/comedy,https://en.wikipedia.org/wiki/Phillauri_(film),"A young man Kanan (Suraj Sharma) returns to India from Canada to marry his long-term girlfriend Anu (Mehreen Pirzada), but comes to know that as he is a manglik (born under an unlucky star) he has to get married to a tree before getting married to her. He reluctantly marries the tree, which is duly chopped down after the completion of the ceremony. As a result, from that day onwards he is haunted by the spirit of a woman named Shashi (Anushka Sharma), who lived in that particular tree and hence claims to now be 'married' to him.
The story of Phillauri and Shashi is slowly revealed via the latter's flashbacks. Back in an unspecified time period, Shashi is a bright young woman who never fails to read the works of a poet named Phillauri that is regularly published in a local weekly. Everyone in the village of Phillaur thinks that the poems are written by the singer Roop Lal 'Phillauri' (Diljit Dosanjh), who is the heart-throb of the village. However Roop Lal notices that Shashi, unlike all the other village girls, never comes to hear him sing. When he confronts her one-day and tells her that he is the Phillauri who writes the poetry by narrating one of his famous poems to her, he is shocked when Shashi slaps and insults him. She asks him to use his talent – of being able to connect with the common man through his songs – for something important (especially when the struggle for independence is on) and not for frivolous matters. From that day onwards Roop Lal is a changed man, dedicating his life to knowing and understanding the poetry of Phillauri (which it is clear now that he is not the author of), and spreading its message via his beautiful singing to others.
On one particular night while Roop Lal is alone at home singing one of Phillauri's poems, Shashi comes to him and reveals that she is the one who writes poetry under the pseudonym of 'Phillauri' (which she can't do openly, being a woman). Subsequently, love blossoms between the two (the poet and the singer who translates her poetry to song and spreads its message far and wide), but Shashi's elder brother (a reputed doctor of the village who brought her up) eventually comes to know about the affair and intervenes between the lovers. Roop Lal confronts Shashi's brother and admits to having been an alcohol-addicted good-for-nothing who still is not worthy of her, but tells him that he (Roop Lal) is going to Amritsar to record all the songs written by Shashi and will eventually return and ask for her hand in marriage.
The very fact that Shashi writes poetry is a revelation to her brother, and as time passes he too reads the poems and starts appreciating her obvious talent. Meanwhile, Roop Lal records the songs in Amritsar (the gramophone record is credited to Roop Lal 'Phillauri', thus being an amalgam of his name and her pseudonym) and is paid a handsome fee of three hundred rupees. He immediately sends the entire amount as a money order to Shashi's brother, along with a letter stating his intention to return and marry her on Baisakhi. Shashi's brother, by now convinced of Roop Lal's changed nature and good intentions as well as the deep love between the couple, starts the preparations for her marriage.
On the day of the wedding Shashi comes to know that she is pregnant, but does not disclose the news to anyone except her close friend Amrit (Nidhi Bisht). She expectantly waits for Roop Lal along with all her relatives and the entire village, but eventually the day ends with him nowhere to be seen on any of the buses from Amritsar. Her brother has to face the intense embarrassment and shame of sending everyone away, and this in turn hurts Shashi so much that she commits suicide (by hanging herself from a tree) due to an overwhelming sense of sadness, despair and betrayal.
In the midst of all these flashbacks by Shashi's spirit the parallel storyline in the present continues with Kanan (whose confused ramblings about seeing a ghost naturally no-one believes), ending up in trouble with Anu who feels that he is not really interested in marrying her (which is partially true since he is getting cold feet). In order to clear the misunderstanding Shashi finally manages to reveal her presence to Anu as well (though Anu still cannot see her), and having heard her entire painful story Anu realises that Shashi's spirit is in fact still stuck on the mortal plane due to her unfulfilled love. At that point Anu's grandmother happens to play her favourite record, which as fate would have it is the one Roop Lal recorded. The record label mentions the recording date as 13 April 1919, which results in an epiphany for Kanan who immediately takes Anu (with Shashi in tow) to the site of the Jallianwala Bagh massacre, which took place on that very day 98 years ago.
The movie ends with Shashi's spirit reuniting finally with her lover Roop Lal's (who was indeed killed in the massacre on the very Baisakhi day he recorded their songs and was to return to marry her). Before they both ascend to heaven Shashi tells Kanan and Anu (who can now see her) to love and cherish each other always, and that is what they promise each other as they embark on a new phase of their very own love story.[8]"
2016,Jakkanna,Telugu,Vamshi Krishna Akella,"Sunil, Mannara Chopra, Ashish Vidyarthi, Posani Krishna Murali",comedy,https://en.wikipedia.org/wiki/Jakkanna,A man's (Sunil) attempts to repay a kindness earns him the wrath of a ruthless gangster (Kabir Duhan Singh) who just wants to be left alone to continue his illegal dealings.
2011,Pained,South_Korean,Unknown,,melodrama,https://en.wikipedia.org/wiki/Pained,"Debt collector Nam-soon (Kwon Sang-woo) lost his sense of pain after a traumatic accident during his youth, and now regularly takes beatings for his job. Street vendor Dong-hyun (Jung Ryeo-won) suffers from severe hemophilia, a disorder that impedes the body's ability to stop bleeding. For Dong-hyun, even the most minor of injuries could be deadly. She's left homeless after Nam-soon collects the last of her money, so he decides to take her in. As the two grow closer, Nam-soon suddenly begins to lose his lifelong insensitivity to pain and the hurt of a lifetime washes over him. Together, these two lonely souls learn to hurt and hope again..."
2014,My Ordinary Love Story,South_Korean,Lee Kwon,"Kang Ye-won, Song Sae-byeok",unknown,https://en.wikipedia.org/wiki/My_Ordinary_Love_Story,"Eun-jin struggles to make her seventh relationship work after six failed ones. But she begins to suspect that her new boyfriend, bumbling but sweet Hyun-suk, may be hiding something.[5]"
1948,Uneasy Terms,British,Vernon Sewell,"Michael Rennie, Moira Lister",thriller,https://en.wikipedia.org/wiki/Uneasy_Terms,"Slim Callaghan is a private eye whose client, Colonel Stenhurst, is murdered, leaving behind a trail of suspects. Viola, the eldest of the Colonel's three stepdaughters, is the prime suspect, but after wading through clues and romance, Callaghan corners the real culprit.[3]"
2010,Pugaippadam,Tamil,Rajesh Lingam,"Amjad, Priya Anand, Harish",unknown,https://en.wikipedia.org/wiki/Pugaippadam,"Krishna(Amzath Khan),Nandha(Nandha),Bala(Harish),Guru(Sivam),Krithika Rao (KK)(Yamini), Gowri(Mrinalini)were friends in their college since I-year.Later, Shiney George(Priya Anand) joined in their gang and soon Shiney and Krishna Fell in Love. Gowri loved Guru Since they both met at first time. But,Guru neglected that by saying 'we should not brake the friendship and he is the one who neglected girls in their gang.so,its wrong to say he loves Gowri'.Guru and Krishna kept lots of Arrears in their academics.So,Shiney Slapped Krishna and its bad for him to join with Guru and Krishna got angry.Guru fought with shiney to slap him.Thus the Gang split as boys and girls.Due to this Gang didn't reunite at the departal of Gowri. After the interrogation of the Lectures they united. The other friends helped Guru and Krishna to clear their arrears and they got Placements in companies. Shiney's father accepted her love and at the last day Krishna and Shiney opened their love to all their friends.On that night,Bala attempted suicide and died in the hospital.
There Gowri said he was died for shiney because he was in a love with her.Then,the truth came out.Bala admired at shiney at first sight and loved her when she supported him at the time of Ragging.And he told all his feelings to Gowri on that day morning and he decided to propose his love to all his friends before telling to shiney. But the plan went wrong when shiney slapped Krishna and the gang broken up.On hearing this everyone heart went broken and all of them felt sorry especially Krishna and shiney. Guru went mad and rushed to college where Bala's memories were wandwering.
At college Shiney and Krishna said they won't get married because they felt guilty and pain for Bala's death. KK told all its only possible if we all departed forever. Gowri yelled at her But Nandha told she is correct because we lost a member from our gang forever and without him we won't make a best gang.Adding to this he also said ""If we all know about anyone's love earlier we wouldn't lost Bala. This means,we were not loyal to ourselves and friendship"". On telling this everybody cried and one by one went from the sight forever. Shiney and Krishna were the last to go and the film ends."
2009,Hotel Chelsea,Japanese,Jorge Valdés-Iga,"Nao Nagasawa, Justin Morck, Hiro Masuda, Sawa Suzuki, Anthony Laurent",thriller,https://en.wikipedia.org/wiki/Hotel_Chelsea_(film),"A newlywed Japanese couple travel to the Hotel Chelsea in New York City to enjoy their honeymoon. One night, the wife finds the lifeless body of her husband and a video containing footage of the brutal murder. A police detective arrives at the scene and tries to reconstruct the events surrounding the mysterious crime.[1]"
2008,Anjathe,Tamil,Mysskin,"Narain, Ajmal Ameer, Prasanna, Vijayalakshmi",action thriller,https://en.wikipedia.org/wiki/Anjathe,"Sathyavan (Narain) and Kirubakaran (Ajmal Ameer) are close friends living opposite each other in the police quarters neighborhood. Sathya is a rowdy, wasting his time drinking merrily and getting involved in fights. Though he and Kiruba pass college with a first-class degree, Sathya has no interest in joining the police force like his father (M. S. Bhaskar). Kiruba studies hard to become a Sub-Inspector (SI), challenging Sathya to do the same. Just a day before the exam, Sathya decides to take up the exam as well, much to his friend's surprise and with little head start, passes the physical, written and interview, with the help of malpractices and influence from his uncle and becomes an SI. However, Kiruba doesn't make it through despite being straightforward; this creates a rift between the two.
Kiruba's father lies to Sathya that he has gone to Mumbai, but Sathya finds him in the local bar, having become a drunkard.
Parallel is the story of Deena Dayalan (Prasanna) and Loganathan aka Logu (Pandiarajan), who extort money from businessmen through kidnappings. Before Sathya becomes a policeman, he beats up Daya for attempting to molest Kiruba's sister Udhra (Vijayalakshmi), though none including Kiruba knows of this.
Sathya gains fame by holding off knife-wielding men who come to kill an injured man at a hospital, though the man is killed later in the night. As a result, Sathya is drafted into a special task force (STF) to catch the gang members related to the crime. Daya and Logu carry out two kidnappings, raping the victims on both occasions, and release them for ransom money. Kiruba is beaten up by the police for a skirmish at the local bar; his father suffers a heart attack after getting his son back from the police station. At this point of time Kiruba is employed by Daya, mainly because the former is distraught and will fall easily to the lure of money and booze. In the third time however, the police are informed, but the kidnappers find out by chance and change the drop off point at the last moment. They give the police the slip, but narrowly avoid capture, with Kiruba providing shelter for them in his house. Kiruba joins along to get money for his father's angioplasty, though he doesn't realize until it's too late that he is doing illegal things and harming young children.
Meanwhile, Sathya identifies Daya from the characteristics, with a background check revealing that Daya was accused of raping his senior's wife in the army. Daya, Logu, and their accomplices are again almost caught when the police trace one of the accomplices' family. Daya kills his own man during this raid to avoid information being passed, and hatch a plan to escape to Bihar in a poultry van. Logu is killed by Daya, upon learning that the former had hatched a plan to kill him. However, to escape to the city outskirts to rendezvous with this van, they hijack the Inspector-General's (IG) car with his two daughters inside. Switching soon to a disguised-dog van to get past check-posts with the two girls, Daya, Kiruba and another accomplice arrive at a sugarcane field. Sathya recognizes Kiruba's voice from the ransom call he makes to the IG, and follows Udhra from the hospital, who has been instructed to bring a bag full of cash from their home (kept there by Daya), to the sugarcane field.
The plot to kidnap the IG's daughters is an elaborate ruse to divert the police force to the south of the city while they escape from the north. The special task force, who are in the south of the city, realize the plot and upon learning that Sathya is alone in the north of the city, head in that direction.
In the sugarcane fields, Kiruba shows compassion towards the two girls, treating them softly. Upon hearing some noise in the field, Daya splits the group, doing so to meet up directly with Udhra who has the money-bag. He tries to rape her, but Sathya intervenes and a fist fight ensures, but the special task force comes upon them, and kill Daya by setting it up as an encounter.
The two girls split and escape from the third accomplice, only for one of them to be recaptured by him, but is let off being too tiring to carry. Kiruba and the third accomplice try to run away, with Udhra behind him. Just as he leaves her to escape, she reveals that she is in love with Sathya and uses the situation to handcuff herself to Kiruba to avoid him from escaping. In the end, Sathya shoots Kiruba in self-defense and to save one of the IG's daughters from being shot. When Kiruba lies on Sathya's lap shot, Kiruba finds a ring he once gifted to Sathya on his birthday which Kiruba believed thrown away by Sathya drunk while partying at the bar which in turn wets Kiruba's eye and dies. The ending scenes of the film show Sathya and Udhra getting married and having a son, whom they name Kiruba."
1927,London After Midnight,American,Tod Browning,"Lon Chaney, Marceline Day, Conrad Nagel",thriller,https://en.wikipedia.org/wiki/London_After_Midnight_(film),"In a cultured and peaceful home on the outskirts of London,[9] the head of the household, Sir Roger Balfour, is found dead from what initially appears to be a self-inflicted bullet wound, despite the insistence of Balfour's friend and neighbour, Sir James Hamlin, that his old friend would never have taken his own life. Nonetheless, Balfour's death is officially declared a suicide by Inspector Edward C. Burke of Scotland Yard.[9][10][11]
Five years later, with the case still unresolved, a sinister-looking man with pointed teeth wearing a Beaver-skin top hat, arrives at the household accompanied by a cadaverous-looking woman in a long gown; the arrival of these two individuals prompts Sir James Hamlin, the friend and neighbour of the late Roger Balfour, to call Scotland Yard. This in turn prompts Inspector Burke to travel to the household, where he discovers that three individuals now present in the household had been the only three who had been present five years previously when Roger Balfour had died. Initially, Burke remains sceptical that any of these three individuals (Balfour's daughter, Lucille, his butler Williams, and Arthur Hibbs,[12] the nephew/secretary of the neighbour who had placed the call to Scotland Yard) may have been involved in his murder, until Balfour's body disappears from its tomb and an individual looking distinctly like him is seen around the old Balfour estate. This, in addition to other eerie acts such as instances of singular gunshots being heard in Roger Balfour's former bedroom occurring in the household while Burke is there and the sinister-looking Man in the Beaver Hat repeatedly terrifying those within the household, prompts him to determine to identify Balfour's killer by reproducing the former crime scene and using hypnosis to induce the culprit into re-enacting the murder.[10][11][13][13][13][13]"
1986,River's Edge,American,Tim Hunter,"Crispin Glover, Keanu Reeves, Ione Skye Leitch, Daniel Roebuck, Dennis Hopper",drama,https://en.wikipedia.org/wiki/River%27s_Edge,"In Northern California, an adolescent boy, Tim (Joshua John Miller), throws a doll into a river. On the opposite bank, he sees teenager John ""Samson"" Tollet (Daniel Roebuck) smoking a cigarette; next to him is the nude corpse of his girlfriend, Jamie (Danyi Deats). Later at a convenience store, Tim encounters John arguing with the clerk over buying beer. Tim returns home where his brother Matt (Keanu Reeves) and mother are searching for his little sister's doll. Layne (Crispin Glover) arrives and picks up Matt, and the two drive to the home of Feck (Dennis Hopper), a neurotic ex-biker and drug dealer, to buy marijuana. On the car ride there, Layne recounts a party from the night before where John and Jamie were arguing. At school, Layne and Matt smoke with their friends Clarissa (Ione Skye), Maggie (Roxana Zal), and Tony (Josh Richman). Matt talks about wanting to run away to Portland, which Clarissa dismisses. Samson arrives, and mentions that he killed Jamie. Clarissa and Maggie think he's joking, and leave for class. He brings Layne and Matt to view her body; Matt is disturbed, while Layne is singularly concentrated on covering up the crime.
The group all plan to go see Jamie's body that evening, which Clarissa assumes is a practical joke. An older acquaintance, Mike, agrees to drive them in his truck, and they each see Jamie's body for themselves. Later that night, Clarissa calls Matt, but he is reluctant to talk to her. Meanwhile, Layne goes back to the scene and pushes Jamie's body into the river. Later, while driving with Samson, he notices police cars near Samson's house. Layne panics, but Samson remains calm. They drive to Feck's house, and Layne leaves Samson there to hide. Meanwhile, Matt directs police to the river, where they find Jamie's body washed up on the shore. Matt is subsequently interrogated by police, who threaten to charge him with being an accessory after the fact. Matt returns home and argues with his mother and her boyfriend, and then gets into a fight with Tim, hitting him in the face. After, Tim and his friend Moko steal Moko's father's car to drive to Feck's.
In the middle of the night, Layne, Clarissa and Matt drive to Tony's house, but Tony's father chases them off with a shotgun. Layne argues with Clarissa and kicks her out of his car. Matt gets out and walks with her. They stop at a convenience store and run into John and Feck. Tim and Moko break into Feck's house in search of a gun, but find his stash of marijuana instead; they each get stoned and pass out in his house. Matt and Clarissa go to a park to talk, where they confide their mutual apathy over Jamie's murder. Meanwhile, Samson and Feck have gone to the river's edge to drink beer. Feck discusses a murder he committed years prior of his own girlfriend, and Samson drunkenly begins to brag about killing Jamie, recounting his strangling her to death with relish. Matt and Clarissa have sex in the park nearby before falling asleep, while Layne drives around town in a panic, compulsively taking pills.
At dawn, Samson falls asleep on the river bank, and Feck shoots him in the head. He returns to his home, where Tim and Moko accost him and steal his gun. Police find Layne unconscious in his car, and bring him in for questioning. At school, news reporters interview Maggie and Tony, who seem dispassionate. During history class, the teacher, Mr. Burkewaite, discusses morality, and asks Clarissa what Jamie meant to her in front of the class; she doesn't respond. Layne calls Feck's house asking where Samson is, and Feck tells him he's gone to the river; in the middle of the phone call, police break down Feck's door. The group of teenagers go to the river together, and Layne finds Samson's body nearby. Tim arrives at the scene with Feck's gun and threatens to kill Matt for hitting him the night before, but Matt talks him out of it.
Police arrive and escort the teenagers away as medical examiners remove Samson's body. In the hospital, Feck admits to killing Samson ""because there was no hope for him,"" and confesses to his girlfriend's murder from years prior. Later, at Jamie's funeral, each of the teenagers show emotion during the wake."
1930,The Vagabond King,American,Ludwig Berger,"Jeanette MacDonald, O.P. Heggie, Lillian Roth",musical,https://en.wikipedia.org/wiki/The_Vagabond_King_(1930_film),"The story takes place in medieval France. King Louis XI (O. P. Heggie), hoping to enlist the French peasants in his upcoming battle against the Burgundians, appoints François Villon (Dennis King) king of France for one day. Despite being successful against the Burgundians, François Villon is sentenced to hang by King Louis XI for writing derogatory verses about him...
Jeanette MacDonald is Katherine, the high-born girl whom Villon pines for, while Huguette, a tavern wench (Lillian Roth) gives up her life to save her beloved poet."
2011,Mallikarjuna,Kannada,Murali Mohan,"V. Ravichandran, Seetha, Sadha, Ashish Vidyarthi, Ramya Barna, Ramesh Bhat",drama,https://en.wikipedia.org/wiki/Mallikarjuna_(film),"Ravichandran plays a dual role of Father - son. While Seetha pairs up for the father role, Sadha pairs for the son role."
1943,Immortal Sergeant,American,John M. Stahl,"Henry Fonda, Maureen O'Hara",war,https://en.wikipedia.org/wiki/Immortal_Sergeant,"In North Africa, experienced Sergeant Kelly (Thomas Mitchell) leads out a British patrol, accompanied by Corporal Colin Spence (Henry Fonda), an unassertive Canadian. When they are attacked by Italian airplanes, they manage to shoot one down, but it crashes on one of their vehicles, killing eight men. Later, Kelly leads the six survivors on an attack of an Italian armored car, but is seriously wounded. He orders Spence to leave him behind; when Spence refuses to obey, he shoots himself.
Spence leads the remaining three men towards an oasis. Before they can reach it though, a transport plane lands and disgorges German soldiers who set up a base. After sneaking in to steal badly needed food and water, Spence has to assert his leadership when one of his men advocates surrendering. Instead, Spence leads them in a surprise attack under the cover of a sandstorm. The British emerge victorious, though one man is killed and Spence is wounded.
The corporal comes to in a Cairo hospital and finds he is to be given a medal and promoted to lieutenant. His newfound assertiveness extends to his personal life. He proposes to his girlfriend Valentine (Maureen O'Hara), whom he had thought of (in flashbacks) throughout his ordeal."
1957,The Pied Piper of Hamelin,American,Bretaigne Windust,"Van Johnson, Claude Rains, Lori Nelson",musical,https://en.wikipedia.org/wiki/The_Pied_Piper_of_Hamelin_(1957_film),"The Pied Piper (Van Johnson) is first spotted working magic in Hamelin by a disabled boy, Paul, and playing his signature tune In the Hall of the Mountain King. Paul tells his best friend, the schoolteacher Truson (=true son), also played by Johnson, but Truson is skeptical.
The town of Hamelin has entered a competition in order to win a banner from the King. To this end, the Mayor (Claude Rains) exhorts the people to work incessantly, even the children, to the extent that they are denied school and play. Truson protests, but his protests go unheeded by the arrogant Mayor. As part of a competition between several villages, the Mayor and his cabinet plan to construct golden chimes to impress the King's Emissary, who is due to pay a visit to Hamelin. But their efforts are temporarily halted when the town is invaded by rats, which have fled the neighboring city of Hamelout after the Weser River flooded and destroyed the town.
It is then that the Piper magically appears before the Mayor and his councilors. (He can appear inside the council room although the door is bolted.) Asking to be paid all the money in the town's treasury, (fifty-thousand guilders) he offers to rid the town of the rats. An unusual element is introduced into the story here: whenever the Piper plays a happy tune for the children, only Truson and the children can hear it. When he plays ""In the Hall of the Mountain King"" and leads the rats to their doom in the river, the children quickly fall asleep and only the material-minded adults such as the Mayor, but not Truson, can hear the music.
The Piper rids the town of the rats, but rather than simply paying him, the Mayor and his Cabinet attempt to use legal pettifoggery to trick him into an agreement whereby he must deposit a certain amount of money as a guarantee that the rats will not return, and if they do he must return the rest of the money that he has been paid. Furious, the Piper leaves without his money, and the Mayor plots to use the gold to construct the chimes. Truson, who is in love with the Mayor's daughter Mara (Lori Nelson) is thrown in jail for speaking out against this injustice. The Mayor plans to marry off Mara to the King's Emissary (Jim Backus), but at this point, the Piper takes his revenge. Playing a happy variation on ""In the Hall of the Mountain King"", he leads the children of Hamelin away and into a beautiful kingdom concealed by a cave which magically opens to let the children in. But Paul is accidentally left behind, after he falls while trying to catch up with the other children and the cave closes before he can pass through.
The rest of the plot concerns the resolution of the Truson-Mara love story, the attempts of the adults to bring back the children, and the townsfolk and the Mayor. A happy ending showing the Piper's forgiveness and his returning of the children was added to the story in order to keep the program a family special."
1981,Kalyug,Bollywood,Shyam Benegal,"Shashi Kapoor, Rekha, Raj Babbar",drama,https://en.wikipedia.org/wiki/Kalyug_(1981_film),"This is a tale of intrigue, plots and the inevitable war between two families.
Ramchand and Bhishamchand were two pioneering brothers in business. Bhishamchand, a lifelong bachelor, brought up the two sons of Ramchand upon his demise. He also gave the family business a firm foundation. Khubchand (Vinod Doshi), the elder son of Ramchand begets two sons, Dhanraj (Victor Banerjee) and Sandeepraj (Akash Khurana). Puranchand, Khubchand's younger brother, had died a few years ago. His three sons are Dharamraj (Raj Babbar), Balraj (Kulbhushan Kharbanda) and Bharatraj (Anant Nag). Another player in the game is Karan (Shashi Kapoor), an orphan brought up by Bhishamchand.
A series of events brings the long-hidden feud between the two families to light. Despite Bhishamchand's efforts to mediate between the two, the situation gets out of hand and events take a tragic turn. Dhanraj's men accidentally kill the young son of Balraj and to take revenge, Bharatraj murders Karan. Quite a few skeletons from the family cupboard are brought into the open that only add to the tensions and hatred, finally culminating in the destruction of the two families, showing the brittleness of our moral fabric."
